Algorithm,InputType,Size,Time(ns),MaxDepth,Comparisons
MergeSort,Random,1000,928000,7,10492
QuickSort,Random,1000,1006000,6,10712
MergeSort,Sorted,1000,533700,7,6936
QuickSort,Sorted,1000,213500,7,10091
MergeSort,Reverse,1000,287700,7,13320
QuickSort,Reverse,1000,163700,6,10824
MergeSort,Duplicates,1000,151500,7,10112
QuickSort,Duplicates,1000,682600,3,53976
MergeSort,Random,10000,1584700,11,129009
QuickSort,Random,10000,1716500,9,160379
MergeSort,Sorted,10000,1007400,11,108976
QuickSort,Sorted,10000,1069100,9,160527
MergeSort,Reverse,10000,1588000,11,143920
QuickSort,Reverse,10000,713700,8,157601
MergeSort,Duplicates,10000,3268100,11,127222
QuickSort,Duplicates,10000,9761600,3,5049219
MergeSort,Random,100000,21973000,14,1655072
QuickSort,Random,100000,12863000,10,1967158
MergeSort,Sorted,100000,4139300,14,1391808
QuickSort,Sorted,100000,6893600,10,2142452
MergeSort,Reverse,100000,6016400,14,1861024
QuickSort,Reverse,100000,7980700,11,2000405
MergeSort,Duplicates,100000,8053500,14,1631546
QuickSort,Duplicates,100000,814551400,4,500434018
